pmac,pid
BE:28:A9:00:05:52,P138
BE:28:A9:00:05:A7,P594
BE:28:A9:00:07:76,P504
BE:28:A9:00:03:D5,P471
BE:28:A9:00:02:98,P412
BE:28:A9:00:06:3A,P348
BE:28:A9:00:07:55,P166
BE:28:25:00:04:E1,P332
BE:28:A9:00:06:37,P564
BE:28:A9:00:00:BB,P489
BE:28:A9:00:07:91,P259
BE:28:A9:00:05:7A,P89
BE:28:A9:00:08:F2,P423
BE:28:A9:00:02:C7,P210
BE:28:25:00:04:06,P503
BE:28:A9:00:07:B3,P528
BE:28:A9:00:08:74,P415
BE:28:A9:00:08:DA,P145
BE:28:A9:00:00:A5,P390
BE:28:A9:00:08:75,P277
BE:28:A9:00:02:DF,P600
BE:28:A9:00:07:83,P7
BE:28:A9:00:05:8E,P409
BE:28:A9:00:07:5F,P5
BE:28:A9:00:05:6B,P283
BE:28:A9:00:03:A1,P378
BE:28:A9:00:09:8A,P576
BE:28:A9:00:00:A2,P201
BE:28:A9:00:02:8E,P114
BE:28:A9:00:00:9B,P422
BE:28:A9:00:02:CB,P571
BE:28:A9:00:05:A2,P364
BE:28:A9:00:02:A0,P351
BE:28:A9:00:05:7C,P508
BE:28:A9:00:02:C5,P194
BE:28:A9:00:05:92,P403
BE:28:A9:00:03:B4,P82
BE:28:A9:00:02:D8,P161
BE:28:A9:00:03:A7,P61
BE:28:A9:00:00:C9,P159
BE:28:A9:00:05:A8,P408
BE:28:A9:00:06:40,P397
BE:28:A9:00:07:8C,P120
BE:28:A9:00:03:41,P42
BE:28:A9:00:07:9D,P502
BE:28:A9:00:06:26,P457
BE:28:A9:00:08:94,P237
BE:28:A9:00:06:13,P577
BE:28:A9:00:02:97,P119
BE:28:A9:00:03:8C,P374
BE:28:A9:00:06:2B,P255
BE:28:25:00:06:3C,P231
BE:28:A9:00:05:4F,P57
BE:28:A9:00:00:AF,P180
BE:28:A9:00:05:55,P162
BE:28:A9:00:00:B4,P402
BE:28:A9:00:00:B0,P167
BE:28:A9:00:06:38,P478
BE:28:A9:00:09:8C,P233
BE:28:A9:00:08:76,P243
BE:28:A9:00:08:6C,P551
BE:28:A9:00:08:FF,P449
BE:28:A9:00:08:F4,P224
BE:28:A9:00:06:1D,P90
BE:28:A9:00:02:C2,P302
BE:28:A9:00:05:6A,P307
BE:28:A9:00:05:4D,P222
BE:28:A9:00:05:7B,P567
BE:28:A9:00:00:9C,P172
BE:28:A9:00:02:AD,P221
BE:28:A9:00:06:34,P518
BE:28:A9:00:07:C7,P388
BE:28:A9:00:07:B5,P101
BE:28:A9:00:00:C4,P525
BE:28:A9:00:08:E9,P430
BE:28:A9:00:08:D4,P8
BE:28:A9:00:02:EB,P47
BE:28:A9:00:07:D1,P592
BE:28:A9:00:05:7E,P84
BE:28:A9:00:03:42,P295
BE:28:25:00:04:F0,P213
BE:28:A9:00:00:BA,P537
BE:28:A9:00:07:57,P389
BE:28:A9:00:05:A5,P206
BE:28:A9:00:09:7D,P46
BE:28:A9:00:00:C0,P498
BE:28:A9:00:07:4F,P549
BE:28:A9:00:02:B9,P568
BE:28:25:00:04:FB,P371
BE:28:A9:00:00:9E,P306
BE:28:A9:00:07:69,P64
BE:28:A9:00:03:40,P28
BE:28:A9:00:09:92,P174
BE:28:A9:00:07:65,P16
BE:28:A9:00:07:79,P291
BE:28:A9:00:07:6F,P152
BE:28:A9:00:03:CB,P133
BE:28:A9:00:03:A8,P355
BE:28:A9:00:06:36,P261
BE:28:A9:00:02:9A,P85
BE:28:25:00:04:EC,P524
BE:28:A9:00:08:82,P27
BE:28:A9:00:08:DB,P330
BE:28:A9:00:09:7E,P417
BE:28:A9:00:03:4A,P230
BE:28:A9:00:07:4E,P14
BE:28:A9:00:03:C2,P225
BE:28:A9:00:03:2D,P329
BE:28:A9:00:02:9B,P100
BE:28:A9:00:05:99,P604
BE:28:A9:00:07:4C,P15
BE:28:A9:00:07:BB,P319
BE:28:A9:00:07:B8,P293
BE:28:A9:00:05:A1,P556
BE:28:A9:00:05:53,P368
BE:28:A9:00:07:71,P117
BE:28:A9:00:03:9E,P380
BE:28:A9:00:02:D2,P74
BE:28:A9:00:08:EB,P157
BE:28:A9:00:08:84,P220
BE:28:A9:00:06:33,P350
BE:28:A9:00:02:D0,P566
BE:28:A9:00:08:D5,P108
BE:28:25:00:04:F7,P59
BE:28:25:00:06:2E,P521
BE:28:A9:00:08:EE,P323
BE:28:A9:00:08:99,P517
BE:28:A9:00:00:C6,P442
BE:28:A9:00:05:6F,P70
BE:28:A9:00:02:E8,P244
BE:28:A9:00:02:CD,P529
BE:28:A9:00:08:DF,P190
BE:28:A9:00:02:9F,P305
BE:28:A9:00:05:A6,P582
BE:28:A9:00:02:94,P395
BE:28:A9:00:08:9A,P587
BE:28:A9:00:05:73,P523
BE:28:A9:00:03:AC,P49
BE:28:25:00:04:F5,P284
BE:28:A9:00:09:78,P377
BE:28:A9:00:02:B4,P219
BE:28:A9:00:03:C3,P547
BE:28:A9:00:09:6A,P217
BE:28:A9:00:05:93,P258
BE:28:A9:00:06:30,P241
BE:28:A9:00:09:96,P346
BE:28:A9:00:07:C5,P341
BE:28:A9:00:02:F0,P23
